Data,Ora,Sport,Nome,Durata (h:mm),Durata (s),Distanza (km),FC media,FC max,Dislivello (m),Calorie,Carico allenamento,Sensazione (1-5),Dispositivo
2026-08-12,08:37,MountainBikeRide,Napoli Mountain bike,1:01,3672,16.64,,,218,549,,,Garmin Edge 530
2026-08-12,10:28,Rowing,Napoli Canottaggio,0:18,1087,1.56,131,150,,228,30,,Garmin Venu Sq 2
2026-08-12,11:22,Rowing,Napoli Canottaggio,0:22,1332,2.0,111,150,,428,8,,Garmin Venu Sq 2
2026-08-13,08:29,Walk,Napoli Camminata,1:14,4460,7.55,115,150,310,577,64,,Garmin Venu Sq 2
2026-08-14,08:19,MountainBikeRide,Napoli Mountain bike,0:59,3594,15.75,,,247,562,,,Garmin Edge 530
2026-08-14,10:17,Rowing,Napoli Canottaggio,0:54,3256,4.5,109,150,,624,37,,Garmin Venu Sq 2
2026-08-15,08:13,MountainBikeRide,Napoli Mountain bike,1:08,4095,19.08,,,262,652,,,Garmin Edge 530
2026-08-15,10:13,Rowing,Napoli Canottaggio,0:40,2425,3.33,113,150,,511,39,,Garmin Venu Sq 2
2026-08-16,08:26,MountainBikeRide,Napoli Mountain bike,1:06,3998,18.77,,,263,654,,,Garmin Edge 530
2026-08-17,11:15,Rowing,Napoli Canottaggio,1:16,4587,3.72,99,150,,635,40,,Garmin Venu Sq 2
2026-08-18,13:16,Rowing,Napoli Canottaggio,0:00,5,0.0,108,109,,1,,,Garmin Venu Sq 2
2026-08-19,07:45,MountainBikeRide,Napoli Mountain bike,1:05,3941,18.86,,,259,658,,,Garmin Edge 530
2026-08-20,08:06,MountainBikeRide,Napoli Mountain bike,1:05,3930,16.3,,,312,629,,,Garmin Edge 530
2026-08-21,08:29,MountainBikeRide,Napoli Mountain bike,1:22,4969,18.96,,,347,708,,,Garmin Edge 530
2026-08-21,12:17,Rowing,Napoli Canottaggio,0:44,2677,3.5,131,150,,731,84,,Garmin Venu Sq 2
2026-08-22,08:17,MountainBikeRide,Napoli Mountain bike,1:40,6006,23.13,,,327,746,,,Garmin Edge 530
2026-08-22,12:00,Rowing,Napoli Canottaggio,1:05,3921,3.3,118,150,,707,64,,Garmin Venu Sq 2
2026-08-24,07:26,MountainBikeRide,Napoli Mountain bike,1:18,4736,21.98,,,297,757,,,Garmin Edge 530
2026-08-24,09:28,Rowing,Napoli Canottaggio,0:49,2940,3.17,112,150,,460,54,,Garmin Venu Sq 2
2026-08-25,07:54,MountainBikeRide,Napoli Mountain bike,1:09,4141,18.73,,,252,624,,,Garmin Edge 530
2026-08-26,08:21,MountainBikeRide,Napoli Mountain bike,0:59,3542,17.2,,,227,583,,,Garmin Edge 530
2026-08-27,08:00,MountainBikeRide,Napoli Mountain bike,1:06,4003,19.03,,,273,671,,,Garmin Edge 530
2026-08-28,08:11,MountainBikeRide,Napoli Mountain bike,1:06,4017,19.14,,,284,676,,,Garmin Edge 530
2026-08-28,13:37,Rowing,Napoli Canottaggio,0:00,2,0.0,83,84,,,,,Garmin Venu Sq 2
2026-08-28,14:04,Rowing,Napoli Canottaggio,0:56,3364,2.0,101,150,,455,44,,Garmin Venu Sq 2
2026-08-29,08:21,MountainBikeRide,Napoli Mountain bike,1:12,4362,19.76,,,269,681,,,Garmin Edge 530
2026-08-31,07:39,MountainBikeRide,Napoli Mountain bike,1:08,4105,19.56,,,278,703,,,Garmin Edge 530
2026-09-01,08:05,MountainBikeRide,Napoli Mountain bike,1:17,4647,20.11,,,340,761,,,Garmin Edge 530
2026-09-02,07:57,MountainBikeRide,Napoli Mountain bike,2:33,9204,43.28,,,366,1266,,,Garmin Edge 530
2026-09-03,07:50,MountainBikeRide,Napoli Mountain bike,2:32,9122,44.6,,,351,1295,,,Garmin Edge 530
2026-09-04,07:58,MountainBikeRide,Napoli Mountain bike,1:03,3787,18.08,,,244,617,,,Garmin Edge 530
2026-09-05,07:46,Walk,Napoli Camminata,0:40,2404,3.76,101,124,192,268,20,,Garmin Venu Sq 2
2026-09-06,07:46,MountainBikeRide,Napoli Mountain bike,1:10,4229,19.05,,,264,650,,,Garmin Edge 530
2026-09-07,07:58,MountainBikeRide,Napoli Mountain bike,1:05,3938,18.15,,,250,624,,,Garmin Edge 530
2026-09-08,07:41,MountainBikeRide,Napoli Mountain bike,1:11,4306,19.14,,,245,642,,,Garmin Edge 530
2026-09-09,07:59,MountainBikeRide,Napoli Mountain bike,2:27,8828,43.42,,,374,1316,,,Garmin Edge 530
2026-09-10,08:03,MountainBikeRide,Napoli Mountain bike,2:40,9658,46.07,,,382,1333,,,Garmin Edge 530
2026-09-11,08:17,Walk,Napoli Camminata,0:51,3109,5.22,92,119,154,322,13,,Garmin Venu Sq 2
2026-09-12,08:13,MountainBikeRide,Napoli Mountain bike,0:02,122,0.34,,,2,6,,,Garmin Edge 530
2026-09-12,08:18,MountainBikeRide,Napoli Mountain bike,1:05,3904,18.72,,,265,655,,,Garmin Edge 530
2026-09-14,07:59,MountainBikeRide,Napoli Mountain bike,1:48,6489,33.53,,,196,940,,,Garmin Edge 530
2026-09-15,07:56,MountainBikeRide,Napoli Mountain bike,2:41,9709,46.03,,,386,1318,,,Garmin Edge 530
2026-09-16,07:55,MountainBikeRide,Napoli Mountain bike,2:48,10103,49.64,,,464,1524,,,Garmin Edge 530
2026-09-17,07:51,MountainBikeRide,Napoli Mountain bike,1:07,4055,16.42,,,288,607,,,Garmin Edge 530
2026-09-18,08:26,Walk,Napoli Camminata,1:16,4592,7.67,87,113,275,474,16,,Garmin Venu Sq 2
